Name,SourceSchema
WattageDimensionOptionalUnit	amzn-base.xsd
MillimeterDecimalDimension	amzn-base.xsd
NoiseLevelDimension	amzn-base.xsd
TemperatureDimension	amzn-base.xsd
StringTemperatureDimension	amzn-base.xsd
TemperatureRatingDimension	amzn-base.xsd
ClothingSizeDimension	amzn-base.xsd
StringLengthOptionalDimension	amzn-base.xsd
StringLengthDimension	amzn-base.xsd
CurrentDimension	amzn-base.xsd
GraduationInterval	amzn-base.xsd
VolumeAndVolumeRateDimension	amzn-base.xsd
ForceDimension	amzn-base.xsd
HardnessDimension	amzn-base.xsd
SweetnessAtHarvestDimension	amzn-base.xsd
VineyardYieldDimension	amzn-base.xsd
AlcoholContentDimension	amzn-base.xsd
AreaUnitOfMeasure	amzn-base.xsd
AirFlowDisplacementUnitOfMeasure	amzn-base.xsd
BurnTimeUnitOfMeasure	amzn-base.xsd
LengthUnitOfMeasure	amzn-base.xsd
LuminanceUnitOfMeasure	amzn-base.xsd
LuminousIntensityUnitOfMeasure	amzn-base.xsd
VolumeUnitOfMeasure	amzn-base.xsd
WeightUnitOfMeasure	amzn-base.xsd
JewelryLengthUnitOfMeasure	amzn-base.xsd
JewelryWeightUnitOfMeasure	amzn-base.xsd
DegreeUnitOfMeasure	amzn-base.xsd
MemorySizeUnitOfMeasure	amzn-base.xsd
FrequencyUnitOfMeasure	amzn-base.xsd
AmperageUnitOfMeasure	amzn-base.xsd
GraduationIntervalUnitOfMeasure	amzn-base.xsd
VolumeAndVolumeRateUnitOfMeasure	amzn-base.xsd
TimeUnitOfMeasure	amzn-base.xsd
BatteryAverageLifeUnitOfMeasure	amzn-base.xsd
DataTransferUnitOfMeasure	amzn-base.xsd
ResistanceUnitOfMeasure	amzn-base.xsd
DateUnitOfMeasure	amzn-base.xsd
AssemblyTimeUnitOfMeasure	amzn-base.xsd
AgeRecommendedUnitOfMeasure	amzn-base.xsd
BatteryPowerUnitOfMeasure	amzn-base.xsd
VoltageUnitOfMeasure	amzn-base.xsd
WattageUnitOfMeasure	amzn-base.xsd
MillimeterUnitOfMeasure	amzn-base.xsd
TemperatureRatingUnitOfMeasure	amzn-base.xsd
ClothingSizeUnitOfMeasure	amzn-base.xsd
PowerUnitOfMeasure	amzn-base.xsd
ResolutionUnitOfMeasure	amzn-base.xsd
ApertureUnitOfMeasure	amzn-base.xsd
ContinuousShootingUnitOfMeasure	amzn-base.xsd
EnergyConsumptionUnitOfMeasure	amzn-base.xsd
CurrentUnitOfMeasure	amzn-base.xsd
ForceUnitOfMeasure	amzn-base.xsd
HardnessUnitOfMeasure	amzn-base.xsd
NoiseLevelUnitOfMeasure	amzn-base.xsd
SunProtectionUnitOfMeasure	amzn-base.xsd
TemperatureUnitOfMeasure	amzn-base.xsd
TorqueType	amzn-base.xsd
TorqueUnitOfMeasure	amzn-base.xsd
VolumeRateUnitOfMeasure	amzn-base.xsd
Customer	amzn-base.xsd
NameValuePair	amzn-base.xsd
LanguageStringType	amzn-base.xsd
LanguageSWVG	amzn-base.xsd
MusicFormatType	amzn-base.xsd
GiftCardsFormatType	amzn-base.xsd
CountryOfOriginType	amzn-base.xsd
AudioEncodingType	amzn-base.xsd
ZoomUnitOfMeasure	amzn-base.xsd
ZoomDimension	amzn-base.xsd
PixelUnitOfMeasure	amzn-base.xsd
PixelDimension	amzn-base.xsd
PressureUnitOfMeasure	amzn-base.xsd
PressureDimension	amzn-base.xsd
OpticalPowerUnitOfMeasure	amzn-base.xsd
OpticalPowerDimension	amzn-base.xsd
PowerDimension	amzn-base.xsd
ResolutionDimension	amzn-base.xsd
OptionalResolutionDimension	amzn-base.xsd
ApertureDimension	amzn-base.xsd
ContinuousShootingDimension	amzn-base.xsd
EnergyConsumptionDimension	amzn-base.xsd
StoneCreationMethod	amzn-base.xsd
AspectRatio	amzn-base.xsd
BatteryCellTypeValues	amzn-base.xsd
HazmatItemType	amzn-base.xsd
AmazonMaturityRatingType	amzn-base.xsd
IdentityPackageType	amzn-base.xsd
SerialNumberFormatType	amzn-base.xsd
LoyaltyCustomAttribute	amzn-base.xsd
WeightRecommendationType	amzn-base.xsd
CharacterDataType	amzn-base.xsd
SpeedDimension	amzn-base.xsd
SpeedUnitOfMeasure	amzn-base.xsd
ToyAwardType	amzn-base.xsd
PowerPlugType	amzn-base.xsd
HumanInterfaceInputType	amzn-base.xsd
HumanInterfaceOutputType	amzn-base.xsd
BluRayRegionType	amzn-base.xsd
VinylRecordDetailsType	amzn-base.xsd
TargetGenderType	amzn-base.xsd
SweetnessAtHarvestUnitOfMeasure	amzn-base.xsd
VineyardYieldUnitOfMeasure	amzn-base.xsd
AllergenInformationType	amzn-base.xsd
CustomerReturnPolicyType	amzn-base.xsd
AlcoholContentUnitOfMeasure	amzn-base.xsd
ComputerPlatformValues	amzn-base.xsd
MagnificationDimension	amzn-base.xsd
MagnificationUnitOfMeasure	amzn-base.xsd
OptionalMagnificationDimension	amzn-base.xsd
CarSeatWeightGroupEUType	amzn-base.xsd
NeckSizeDimension	amzn-base.xsd
NeckSizeUnitOfMeasure	amzn-base.xsd
CycleLengthDimension	amzn-base.xsd
CycleLengthUnitOfMeasure	amzn-base.xsd
BootSizeDimension	amzn-base.xsd
BootSizeUnitOfMeasure	amzn-base.xsd
LithiumBatteryPackagingType	amzn-base.xsd
EnergyLabelEfficiencyClass	amzn-base.xsd
DistributionDesignationValues	amzn-base.xsd
DensityDimension	amzn-base.xsd
DensityUnitOfMeasure	amzn-base.xsd
CapacityUnit	amzn-base.xsd
CapacityUnitMeasure	amzn-base.xsd
Originality	amzn-base.xsd
ServingDimension	amzn-base.xsd
ServingUnit	amzn-base.xsd
BinaryInteger	amzn-base.xsd
OrganizationTaxRoles	amzn-base.xsd
B2bQuantityPriceTypeValues	amzn-base.xsd
IsSourcingOnDemandValues	amzn-base.xsd
