Name,Ref,Type,SourceSchema
Voltage		VoltageDecimalDimension	Beauty.xsd
Wattage		WattageDimension	Beauty.xsd
BeautyMisc			Beauty.xsd
VariationData			Beauty.xsd
Parentage			Beauty.xsd
VariationTheme			Beauty.xsd
Size		StringNotNull	Beauty.xsd
Scent		StringNotNull	Beauty.xsd
Capacity		VolumeDimension	Beauty.xsd
UnitCount			Beauty.xsd
Count		xsd:positiveInteger	Beauty.xsd
NumberOfItems		xsd:positiveInteger	Beauty.xsd
BatteryAverageLife		PositiveNonZeroDimension	Beauty.xsd
BatteryCellComposition		BatteryCellTypeValues	Beauty.xsd
BatteryAverageLifeStandby		PositiveNonZeroDimension	Beauty.xsd
BatteryChargeTime		PositiveNonZeroDimension	Beauty.xsd
BatteryDescription		StringNotNull	Beauty.xsd
BatteryFormFactor		StringNotNull	Beauty.xsd
BatteryPower		BatteryPowerIntegerDimension	Beauty.xsd
DisplayLength		LengthDimension	Beauty.xsd
DisplayWeight		WeightDimension	Beauty.xsd
DisplayVolume		VolumeDimension	Beauty.xsd
SkinType		String	Beauty.xsd
SkinTone		StringNotNull	Beauty.xsd
HairType		String	Beauty.xsd
IncludedComponents		StringNotNull	Beauty.xsd
Ingredients			Beauty.xsd
ManufacturerWarrantyType		StringNotNull	Beauty.xsd
MaterialType		LongStringNotNull	Beauty.xsd
MfrWarrantyDescriptionLabor		SuperLongStringNotNull	Beauty.xsd
MfrWarrantyDescriptionParts		SuperLongStringNotNull	Beauty.xsd
ModelName		StringNotNull	Beauty.xsd
Indications		LongStringNotNull	Beauty.xsd
Directions		LongStringNotNull	Beauty.xsd
Warnings		LongStringNotNull	Beauty.xsd
ItemForm		String	Beauty.xsd
ItemPackageQuantity		PositiveInteger	Beauty.xsd
Flavor		StringNotNull	Beauty.xsd
Coverage		String	Beauty.xsd
FinishType		String	Beauty.xsd
ItemSpecialty		String	Beauty.xsd
PatternName		String	Beauty.xsd
PowerSource		StringNotNull	Beauty.xsd
IsAdultProduct		xsd:boolean	Beauty.xsd
TargetGender			Beauty.xsd
CountryOfOrigin			Beauty.xsd
