Name,Type,SourceSchema
EndDate	[object Object]	amzn-base.xsd
CompareAtPrice	[object Object]	amzn-base.xsd
FulfillmentCenterID	[object Object]	amzn-base.xsd
FulfillmentMethod	[object Object]	amzn-base.xsd
FulfillmentServiceLevel	[object Object]	amzn-base.xsd
CarrierCode	[object Object]	amzn-base.xsd
ShipOption	[object Object]	amzn-base.xsd
MarketplaceName	[object Object]	amzn-base.xsd
ExternalCustomerID	[object Object]	amzn-base.xsd
MerchantOrderID	[object Object]	amzn-base.xsd
MerchantOrderItemID	[object Object]	amzn-base.xsd
MerchantFulfillmentID	[object Object]	amzn-base.xsd
ShipmentID	[object Object]	amzn-base.xsd
MerchantPromotionID	[object Object]	amzn-base.xsd
AmazonOrderID	[object Object]	amzn-base.xsd
AmazonOrderItemCode	[object Object]	amzn-base.xsd
AmazonCustomerID	[object Object]	amzn-base.xsd
StandardProductID	[object Object]	amzn-base.xsd
Type	[object Object]	amzn-base.xsd
Value	[object Object]	amzn-base.xsd
RelatedProductID	[object Object]	amzn-base.xsd
Type	[object Object]	amzn-base.xsd
Value	[object Object]	amzn-base.xsd
ProductTaxCode	[object Object]	amzn-base.xsd
PromotionClaimCode	[object Object]	amzn-base.xsd
Component	[object Object]	amzn-base.xsd
Type	[object Object]	amzn-base.xsd
Amount	[object Object]	amzn-base.xsd
SKU	[object Object]	amzn-base.xsd
ConditionNote	[object Object]	amzn-base.xsd
ConditionType	[object Object]	amzn-base.xsd
Type	[object Object]	amzn-base.xsd
Data	[object Object]	amzn-base.xsd
ComputerPlatform	[object Object]	amzn-base.xsd
Type	[object Object]	amzn-base.xsd
SystemRequirements	[object Object]	amzn-base.xsd
RebateStartDate	[object Object]	amzn-base.xsd
RebateEndDate	[object Object]	amzn-base.xsd
RebateMessage	[object Object]	amzn-base.xsd
RebateName	[object Object]	amzn-base.xsd
ColorSpecification	[object Object]	amzn-base.xsd
Color	[object Object]	amzn-base.xsd
ColorMap	[object Object]	amzn-base.xsd
Denomination	[object Object]	amzn-base.xsd
DeliveryChannel	[object Object]	amzn-base.xsd
Name	[object Object]	amzn-base.xsd
FormalTitle	[object Object]	amzn-base.xsd
GivenName	[object Object]	amzn-base.xsd
FamilyName	[object Object]	amzn-base.xsd
Email	[object Object]	amzn-base.xsd
BirthDate	[object Object]	amzn-base.xsd
CustomerAddress	[object Object]	amzn-base.xsd
Name	[object Object]	amzn-base.xsd
Value	[object Object]	amzn-base.xsd
MaximumWeightRecommendation	[object Object]	amzn-base.xsd
MinimumWeightRecommendation	[object Object]	amzn-base.xsd
CharacterData	[object Object]	amzn-base.xsd
EffectiveTimestamp	[object Object]	amzn-base.xsd
Plugin	[object Object]	amzn-base.xsd
AdditionalMessageDiscriminator	[object Object]	amzn-base.xsd
Payload	[object Object]	amzn-base.xsd
Recall	[object Object]	amzn-base.xsd
IsRecalled	[object Object]	amzn-base.xsd
RecallDescription	[object Object]	amzn-base.xsd
AgeRecommendation	[object Object]	amzn-base.xsd
MinimumManufacturerAgeRecommended	[object Object]	amzn-base.xsd
MaximumManufacturerAgeRecommended	[object Object]	amzn-base.xsd
MinimumMerchantAgeRecommended	[object Object]	amzn-base.xsd
MaximumMerchantAgeRecommended	[object Object]	amzn-base.xsd
WeightRecommendation	[object Object]	amzn-base.xsd
MinimumManufacturerWeightRecommended	[object Object]	amzn-base.xsd
MaximumManufacturerWeightRecommended	[object Object]	amzn-base.xsd
HeightRecommendation	[object Object]	amzn-base.xsd
MinimumHeightRecommended	[object Object]	amzn-base.xsd
MaximumHeightRecommended	[object Object]	amzn-base.xsd
ForwardFacingWeight	[object Object]	amzn-base.xsd
ForwardFacingMaximumWeight	[object Object]	amzn-base.xsd
ForwardFacingMinimumWeight	[object Object]	amzn-base.xsd
RearFacingWeight	[object Object]	amzn-base.xsd
RearFacingMaximumWeight	[object Object]	amzn-base.xsd
RearFacingMinimumWeight	[object Object]	amzn-base.xsd
ShoulderHarnessHeight	[object Object]	amzn-base.xsd
ShoulderHarnessMaximumHeight	[object Object]	amzn-base.xsd
ShoulderHarnessMinimumHeight	[object Object]	amzn-base.xsd
